#UPDATE_DATE,5/26/2026,,,,,,,,,,,,,
หมวด,ITEM CODE,Ø (cm),ความยาว (m),Order,Site (หน่วยงาน),Stock (ท่อน),BOM (m³/ท่อน),Stock (m³),โรงงาน,Ø_mm,Area,ปีผลิต,ปีเสา,เหล็กเสริมพิเศษ
,I35B1300T02,35,13,,,8,1.144,9.152,F1,I35,,,,
,I35B1300T02,35,13,,,6,1.144,6.864,F1,I35,,,,
,I35B1350T02,35,13.5,,,10,1.188,11.88,F1,I35,,,,
,I35B1700T02,35,17,,,1,1.496,1.496,F1,I35,,,,
,I35B1700T02,35,17,,,9,1.496,13.464,F1,I35,,,,
,I35B2200T50027901,35,22,,,1,1.936,1.936,F1,I35,,,,
,I35B2500T00,35,25,,,1,2.2,2.2,F1,I35,,,,
,I35C1600E53040702,35,16,,,1,1.408,1.408,F1,I35,,,,
,I35D0800E50036601,35,8,,,2,0.704,1.408,F1,I35,,,,
,I35D0900S02,35,9,,,3,0.792,2.376,F1,I35,,,,
,I35D1000S02,35,10,,,9,0.88,7.92,F1,I35,,,,
,I35D1200S02,35,12,,,48,1.056,50.688,F1,I35,,,,
,I35D1300S02,35,13,,,5,1.144,5.72,F1,I35,,,,
,I35D1600S00,35,16,,,1,1.408,1.408,F1,I35,,,,
,I40A0800T02,40,8,,,2,0.992,1.984,F1,I40,,,,
,I40A0950E01036701,40,9.5,,,2,1.178,2.356,F1,I40,,,,
,I40A1000T02,40,10,,,1,1.24,1.24,F1,I40,,,,
,I40A1100T02,40,11,,,2,1.364,2.728,F1,I40,,,,
,I40A1600E50013701,40,16,,,1,1.984,1.984,F1,I40,,,,
,I40A1600T00,40,16,,,1,1.984,1.984,F1,I40,,,,
,I40A1800P01,40,18,,,2,2.232,4.464,F1,I40,,,,
,I40A2100T00,40,21,,,11,2.604,28.644,F1,I40,,,,
,I40A2300T00,40,23,,,1,2.852,2.852,F1,I40,,,,
,I40D1200S02,40,12,,,10,1.488,14.88,F1,I40,,,,
,I40D1800E02039101,40,18,,,15,2.232,33.48,F1,I40,,,,
,I45A1300P01,45,13,,,1,2.119,2.119,F1,I45,,,,
,I45A1300P51013001,45,13,,,1,2.119,2.119,F1,I45,,,,
,I45A2100E54004502,45,21,,,4,3.423,13.692,F1,I45,,,,
,I45B1800T02,45,18,,,3,2.934,8.802,F1,I45,,,,
,I45B2800T00,45,28,,,2,4.564,9.128,F1,I45,,,,
,I45D0800S02,45,8,,,4,1.304,5.216,F1,I45,,,,
,I45D1250S02,45,12.5,,,1,2.0375,2.0375,F1,I45,,,,
,P16A0295E70022601,16,2.95,,,3,0.0755,0.2266,F1,P16,,,,
,P16A0500H70,16,5,,,2,0.128,0.256,F1,P16,,,,
,P16A0500P70,16,5,,,3,0.128,0.384,F1,P16,,,,
,P25A0500E70008401,25,5,,,2,0.3125,0.625,F1,P25,,,,
,R10A0120E00182101,10,1.2,,,1,0.012,0.012,F1,R10,,,,
,R12A0105E00027301,12,1.05,,,3,0.0151,0.0454,F1,R12,,,,
,R12A0110E00026301,12,1.1,,,6,0.0158,0.095,F1,R12,,,,
,R12A0130P00,12,1.3,,,1,0.0187,0.0187,F1,R12,,,,
,R12F0200E00025401,12,2,,,10,0.0288,0.288,F1,R12,,,,
,R12N0100E00005701,12,1,,,39,0.0144,0.5616,F1,R12,,,,
,R14A0200E00017302,14,2,,,5,0.0392,0.196,F1,R14,,,,
,R14A0200E00017302,14,2,,,42,0.0392,1.6464,F1,R14,,,,
,S16A0400T00,16,4,,,3,0.1024,0.3072,F1,S16,,,,
,S16A0500E54012001,16,5,,,1,0.128,0.128,F1,S16,,,,
,S16A0500T00,16,5,,,1,0.128,0.128,F1,S16,,,,
,S16A0580E54015101,16,5.8,,,1,0.1485,0.1485,F1,S16,,,,
,S16A0600T00,16,6,,,5,0.1536,0.768,F1,S16,,,,
,S16A0600T00,16,6,,,1,0.1536,0.1536,F1,S16,,,,
,S18A0800P01,18,8,,,3,0.2592,0.7776,F1,S18,,,,
,S18A0800P01,18,8,,,1,0.2592,0.2592,F1,S18,,,,
,S20A0900T02,20,9,,,1,0.36,0.36,F1,S20,,,,
,S20A1000P00,20,10,,,1,0.4,0.4,F1,S20,,,,
,S20A1000T50020701,20,10,,,21,0.4,8.4,F1,S20,,,,
,S20A1200T00,20,12,,,1,0.48,0.48,F1,S20,,,,
,S20A1200T55042301,20,12,,,1,0.48,0.48,F1,S20,,,,
,S22A0800P50040301,22,8,,,2,0.3872,0.7744,F1,S22,,,,
,S22A1000S02,22,10,,,1,0.484,0.484,F1,S22,,,,
,S22A1050T02,22,10.5,,,1,0.5082,0.5082,F1,S22,,,,
,S22A1100S02,22,11,,,2,0.5324,1.0648,F1,S22,,,,
,S22A1100S25,22,11,,,2,0.5324,1.0648,F1,S22,,,,
,S22A1150S02,22,11.5,,,1,0.5566,0.5566,F1,S22,,,,
,S22A1200S00,22,12,,,8,0.5808,4.6464,F1,S22,,,,
,S22A1200T02,22,12,,,1,0.5808,0.5808,F1,S22,,,,
,S22A1250S02,22,12.5,,,3,0.605,1.815,F1,S22,,,,
,S22A1400T54045801,22,14,,,1,0.6776,0.6776,F1,S22,,,,
,S22A1800T22,22,18,,,3,0.8712,2.6136,F1,S22,,,,
,S26A0750T02,26,7.5,,,1,0.507,0.507,F1,S26,,,,
,S26A0800S02,26,8,,,7,0.5408,3.7856,F1,S26,,,,
,S26A0800S02,26,8,,,4,0.5408,2.1632,F1,S26,,,,
,S26A0800S02,26,8,,,7,0.5408,3.7856,F1,S26,,,,
,S26A1000S02,26,10,,,8,0.676,5.408,F1,S26,,,,
,S26A1000S02,26,10,,,42,0.676,28.392,F1,S26,,,,
,S26A1050S02,26,10.5,,,1,0.7098,0.7098,F1,S26,,,,
,S26A1050T02,26,10.5,,,1,0.7098,0.7098,F1,S26,,,,
,S26A1100T02,26,11,,,8,0.7436,5.9488,F1,S26,,,,
,S26A1200S02,26,12,,,2,0.8112,1.6224,F1,S26,,,,
,S26A1200S02,26,12,,,1,0.8112,0.8112,F1,S26,,,,
,S26A1250S02,26,12.5,,,2,0.845,1.69,F1,S26,,,,
,S26A1400E54019401,26,14,,,3,0.9464,2.8392,F1,S26,,,,
,S26A1400E54019401,26,14,,,31,0.9464,29.3384,F1,S26,,,,
,S26A1400S00,26,14,,,1,0.9464,0.9464,F1,S26,,,,
,S26A1500S00,26,15,,,4,1.014,4.056,F1,S26,,,,
,S26A2000E04039101,26,20,,,7,1.352,9.464,F1,S26,,,,
,S26A2000E54039101,26,20,,,2,1.352,2.704,F1,S26,,,,
,S30A0800T22,30,8,,,1,0.72,0.72,F1,S30,,,,
,S30A0900S02,30,9,,,2,0.81,1.62,F1,S30,,,,
,S30A0900T24,30,9,,,2,0.81,1.62,F1,S30,,,,
,S30A1000S02,30,10,,,3,0.9,2.7,F1,S30,,,,
,S30A1200E50033702,30,12,,,1,1.08,1.08,F1,S30,,,,
,S30A1200S00,30,12,,,6,1.08,6.48,F1,S30,,,,
,S30A1200S02,30,12,,,3,1.08,3.24,F1,S30,,,,
,S30A1300S04,30,13,,,2,1.17,2.34,F1,S30,,,,
,S30A1400E50033501,30,14,,,4,1.26,5.04,F1,S30,,,,
,S30A1600T02,30,16,,,1,1.44,1.44,F1,S30,,,,
,S30A1600T50005601,30,16,,,2,1.44,2.88,F1,S30,,,,
,S30A1800P00,30,18,,,1,1.62,1.62,F1,S30,,,,
,S30A2400P00,30,24,,,7,2.16,15.12,F1,S30,,,,
,S35A0750E55034501,35,7.5,,,2,0.9188,1.8375,F1,S35,,,,
,S35A1000S02,35,10,,,5,1.225,6.125,F1,S35,,,,
,S35A1000S52011701,35,10,,,1,1.225,1.225,F1,S35,,,,
,S35A1300P01,35,13,,,2,1.5925,3.185,F1,S35,,,,
,S35A1300S02,35,13,,,1,1.5925,1.5925,F1,S35,,,,
,S35A1350S02,35,13.5,,,3,1.6538,4.9613,F1,S35,,,,
,S35A1450P02,35,14.5,,,1,1.7763,1.7763,F1,S35,,,,
,S35A1800T50025101,35,18,,,4,2.205,8.82,F1,S35,,,,
,S35A1900T00,35,19,,,1,2.3275,2.3275,F1,S35,,,,
,S35A1900T00,35,19,,,2,2.3275,4.655,F1,S35,,,,
,S35A2100S50017901,35,21,,,1,2.5725,2.5725,F1,S35,,,,
,S35A2100T00,35,21,,,1,2.5725,2.5725,F1,S35,,,,
,S35A2250S00,35,22.5,,,1,2.7563,2.7563,F1,S35,,,,
,S40A0700T02,40,7,,,1,1.12,1.12,F1,S40,,,,
,S40A0700T54024401,40,7,,,1,1.12,1.12,F1,S40,,,,
,S40A0850S02,40,8.5,,,1,1.36,1.36,F1,S40,,,,
,S40A0900E22025101,40,9,,,2,1.44,2.88,F1,S40,,,,
,S40A0900S05,40,9,,,2,1.44,2.88,F1,S40,,,,
,S40A0900T05,40,9,,,6,1.44,8.64,F1,S40,,,,
,S40A0950S02,40,9.5,,,1,1.52,1.52,F1,S40,,,,
,S40A1000E05033501,40,10,,,1,1.6,1.6,F1,S40,,,,
,S40A1000S02,40,10,,,22,1.6,35.2,F1,S40,,,,
,S40A1050S02,40,10.5,,,9,1.68,15.12,F1,S40,,,,
,S40A1300T02,40,13,,,2,2.08,4.16,F1,S40,,,,
,S40A1300T02,40,13,,,1,2.08,2.08,F1,S40,,,,
,S40A1300T52007501,40,13,,,2,2.08,4.16,F1,S40,,,,
,S40A1400E50033501,40,14,,,2,2.24,4.48,F1,S40,,,,
